objid,run,rerun,camcol,field,obj,type,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
588848899934127181,756,44,3,756,1101,6,228.9995197,-0.09230579,23.465723,23.12199,22.711267,22.295958,22.43572,0.506634,0.166418,0.181853,0.192624,0.598743
588848899934127208,756,44,3,756,1128,6,229.00491632,-0.08668093,21.471014,20.444906,19.981995,19.799927,19.740725,0.103703,0.020718,0.019731,0.024072,0.081911
588848899934127209,756,44,3,756,1129,6,229.00344607,-0.08864916,21.562519,20.541859,20.09621,19.929384,19.83182,0.110737,0.022015,0.021277,0.026309,0.087116
588848899934127210,756,44,3,756,1130,6,229.00364648,-0.08980154,22.235258,21.214481,20.814814,20.752619,20.714119,0.195187,0.036203,0.037433,0.052245,0.189516
588848899934127211,756,44,3,756,1131,6,229.00662423,-0.08735789,22.611752,21.344158,20.979839,20.951159,20.587553,0.275057,0.04089,0.043983,0.064034,0.177684
588848899934127214,756,44,3,756,1134,6,229.00437737,-0.08811165,24.292116,23.611401,22.681631,23.115229,21.641457,0.823707,0.266567,0.190922,0.409378,0.422989
588848899934127288,756,44,3,756,1208,6,229.01379417,-0.1319027,23.828897,22.792614,22.655731,22.260223,22.367613,0.624972,0.125368,0.172479,0.186716,0.590351
588848899934127305,756,44,3,756,1225,6,229.01541916,-0.08494692,21.849859,20.920753,20.668758,20.512468,20.487793,0.139904,0.029777,0.035315,0.04207,0.153667
588848899934127319,756,44,3,756,1239,6,229.01629616,-0.12523359,21.164917,20.13969,19.790043,19.672556,19.687679,0.079403,0.01666,0.017067,0.021598,0.077017
588848899934127320,756,44,3,756,1240,6,229.01809196,-0.12523778,24.422102,22.286907,21.940517,21.807192,22.602722,0.789781,0.082533,0.093337,0.125865,0.628908
588848899934127321,756,44,3,756,1241,6,229.01745748,-0.12456197,23.64127,22.579828,22.261538,21.934219,21.395716,0.564651,0.105712,0.123696,0.141648,0.32825
588848899934127378,756,44,3,756,1298,6,229.02503954,-0.12219713,21.408381,20.361616,19.96221,19.835167,19.803366,0.099445,0.019742,0.019769,0.025321,0.089309
588848899934127379,756,44,3,756,1299,6,229.02619647,-0.12233715,24.014721,22.504747,22.204784,21.972424,21.952229,0.711067,0.102328,0.121641,0.151889,0.501715
588848899934127413,756,44,3,756,1333,6,229.02841476,-0.09532091,22.079254,20.783321,20.435286,20.344318,20.084595,0.169386,0.026166,0.02763,0.036914,0.109111
588848899934127414,756,44,3,756,1334,6,229.02971196,-0.09450598,22.671705,21.294161,21.015697,20.866283,20.830919,0.272433,0.037679,0.043184,0.056123,0.204613
588848899934127415,756,44,3,756,1335,6,229.02711704,-0.09614522,22.807987,21.801311,21.373293,21.531895,21.199625,0.304642,0.05584,0.05799,0.099267,0.277848
588848899934128093,756,44,3,756,2013,3,228.99247857,-0.11035709,22.174448,21.219103,20.747406,20.685553,20.769205,0.208545,0.040389,0.040125,0.057052,0.232543
588848899934128107,756,44,3,756,2027,6,228.9966121,-0.11344806,22.290918,21.251356,20.894354,20.935146,20.548489,0.201675,0.036791,0.039586,0.060653,0.163909
588848899934128108,756,44,3,756,2028,3,228.99533234,-0.11162583,22.59577,21.610065,21.308184,21.466801,20.855703,0.312441,0.058149,0.067556,0.119799,0.266824
588848899934128111,756,44,3,756,2031,6,229.00111929,-0.12329946,22.016821,21.239189,20.915432,20.845903,20.655697,0.160936,0.036567,0.040375,0.056512,0.181568
