MAIN_ID	OTYPE	RA	DEC	COO_ERR_MAJA	COO_ERR_MINA	COO_ERR_ANGLE	PMRA	PMDEC	B	V	R	J	H	K	SP_TYPE	GALDIM_MAJAXIS	GALDIM_MINAXIS	GALDIM_ANGLE	BIBLIST
Cl* NGC  188    SMV    6179	*inCl	00 43 44.77	+85 09 06.4	18.6	16.3	89	-3.62	2.96	 	20.963	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6183	*inCl	00 43 37.15	+85 18 56.7	5.6	5.3	0	-4.18	3.55	21.428	20.394	19.796	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6189	*inCl	00 43 45.81	+85 09 03.5	10.9	10.9	0	-5.65	3.48	22.742	21.083	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6198	*inCl	00 43 45.34	+85 10 26.3	14.7	8.2	90	-6.86	0.41	22.105	21.227	20.709	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6200	*inCl	00 43 47.68	+85 07 29.8	8.6	8.1	98	-3.91	6.59	21.837	20.936	20.342	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6203	*inCl	00 43 48.81	+85 06 34.5	70	60	0	18.31	1.07	20.429	19.449	18.143	14.708	14.009	13.807	 	 	 	 	2
Cl* NGC  188    SMV    6204	*inCl	00 43 47.28	+85 08 18.6	210	200	114	-4.75	0.92	19.767	18.627	17.809	16.448	15.552	15.365	 	 	 	 	2
Cl* NGC  188    SMV    6206	*inCl	00 43 47.05	+85 09 00.6	9.1	7.9	90	-4.14	1.84	21.527	20.709	20.256	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6207	*inCl	00 43 40.26	+85 17 49.8	12.6	10.9	0	-3.58	1.66	21.856	21.226	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6210	*inCl	00 43 40.38	+85 17 58.6	9.8	9.2	92	-5.84	2.62	22.4	20.883	19.849	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6216	*inCl	00 43 39.19	+85 20 03.8	6.4	5.4	0	-4.13	0.58	21.275	19.835	18.866	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6226	*inCl	00 43 41.24	+85 19 31.1	4.6	4.5	90	-4.55	2.84	20.825	19.996	19.538	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6227	*inCl	00 43 46.89	+85 12 57.8	230	230	0	-4.65	-0.95	19.602	18.424	17.677	16.214	15.778	15.575	 	 	 	 	2
Cl* NGC  188    SMV    6233	*inCl	00 43 52.78	+85 06 02.7	5	5	116	-1.39	0.29	21.316	19.866	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6237	*inCl	00 43 43.36	+85 19 08.6	100	80	179	-4.26	-0.94	18.656	17.687	17.091	15.929	15.341	15.142	 	 	 	 	2
Cl* NGC  188    SMV    6239	*inCl	00 43 46.81	+85 14 47.3	270	260	123	-4.77	-1.34	20.021	18.778	17.983	16.541	15.99	15.741	 	 	 	 	2
Cl* NGC  188    SMV    6243	*inCl	00 43 40.35	+85 23 27.9	7.9	5.8	0	-3.21	4.19	21.76	20.445	19.553	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6244	*inCl	00 43 42.27	+85 21 31.5	4.1	3.8	0	-3.56	3.39	19.817	19.363	19.078	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6255	*inCl	00 43 53.11	+85 10 26.2	5.1	4.6	110	-5.16	-0.66	21.304	19.848	18.921	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6257	*inCl	00 43 52.99	+85 11 15.0	90	70	177	-4.86	-1.16	17.982	17.047	16.467	15.36	14.933	14.655	 	 	 	 	2
Cl* NGC  188    SMV    6262	*inCl	00 43 47.71	+85 19 42.0	120	110	9	-3.36	4.34	18.409	17.582	17.078	15.902	15.63	15.757	 	 	 	 	2
Cl* NGC  188    SMV    6275	*inCl	00 43 45.64	+85 24 28.7	280	250	169	-5.9	0.29	20.76	19.397	18.481	16.497	16.117	 	 	 	 	 	2
Cl* NGC  188    SMV    6300	*inCl	00 43 56.42	+85 14 58.7	3.5	3.2	90	-5.45	-0.13	19.859	18.653	17.876	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6304	*inCl	00 43 52.05	+85 21 18.9	90	80	2	-4.61	0	18.199	17.316	16.786	15.747	15.015	15.159	 	 	 	 	2
Cl* NGC  188    SMV    6307	*inCl	00 44 01.47	+85 08 43.5	8.2	6.3	0	7.9	25.99	21.827	20.056	18.805	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6310	*inCl	00 43 59.89	+85 10 46.0	360	310	104	-5.42	-0.76	21.216	19.771	18.849	16.849	16.201	15.923	 	 	 	 	2
Cl* NGC  188    SMV    6320	*inCl	00 44 02.64	+85 08 46.9	5.1	4	92	-4.95	4.74	20.37	19.713	19.322	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6325	*inCl	00 44 03.07	+85 09 01.3	7.8	6.1	128	1.43	5.06	21.406	20.075	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6336	*inCl	00 43 53.76	+85 23 32.9	3.5	3.2	0	-3.3	1.73	19.265	18.542	18.104	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6341	*inCl	00 43 59.26	+85 17 05.8	59.4	43.7	0	1.61	6.13	21.492	20.606	19.883	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6358	*inCl	00 44 04.83	+85 13 14.3	16.3	13.2	0	-0.69	0.81	22.376	20.799	19.779	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6371	*inCl	00 44 06.88	+85 13 30.3	4.2	3.8	0	-6.7	-1.01	21	19.834	19.073	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6383	*inCl	00 44 06.01	+85 18 38.2	14.2	9	103	-5.19	0.8	22.395	20.839	19.711	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6386	*inCl	00 44 04.15	+85 21 26.6	9.7	8.8	0	-0.91	5.87	21.834	21.28	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6389	*inCl	00 44 10.36	+85 13 19.7	5.2	4.2	0	-5.3	-0.02	21.26	19.791	18.868	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6393	*inCl	00 44 15.72	+85 06 14.4	110	90	178	-5.04	0.18	18.93	17.888	17.163	15.868	15.247	15.197	 	 	 	 	2
Cl* NGC  188    SMV    6394	*inCl	00 44 05.94	+85 20 55.7	120	90	175	-4.73	8.38	19.829	18.468	17.577	15.913	15.341	15.101	 	 	 	 	2
Cl* NGC  188    SMV    6409	*inCl	00 44 04.75	+85 24 54.5	170	140	174	-6.89	0.81	20.627	19.135	18.173	16.045	15.422	 	 	 	 	 	2
Cl* NGC  188    SMV    6412	*inCl	00 44 14.00	+85 11 36.7	5.8	4.3	90	4.35	-4.8	18.445	17.254	16.35	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6414	*inCl	00 44 18.00	+85 05 55.5	21	18.5	90	-7.75	-1.85	21.286	20.643	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6423	*inCl	00 44 08.94	+85 21 43.9	190	150	0	-2.03	4.1	18.817	18.178	17.784	16.639	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6434	*inCl	00 44 17.14	+85 13 18.1	200	190	144	2.12	4.75	21.831	20.189	19.201	16.676	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6436	*inCl	00 44 11.92	+85 20 59.2	7.4	6.3	90	-5.9	3.67	21.93	21.056	20.523	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6446	*inCl	00 44 12.09	+85 23 25.6	4.1	3.7	0	-4.77	2.47	19.135	18.575	18.191	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6447	*inCl	00 44 15.76	+85 18 11.3	34	30.1	89	-0.44	10.98	21.994	21.914	21.603	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6451	*inCl	00 44 17.34	+85 16 14.7	240	230	152	-5.08	-0.92	20.934	19.537	18.579	16.874	15.712	15.473	 	 	 	 	2
Cl* NGC  188    SMV    6457	*inCl	00 44 18.42	+85 15 20.5	7.2	6.7	89	-5.35	1.32	22.418	20.771	19.719	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6458	*inCl	00 44 12.07	+85 24 43.6	4.9	4.3	0	-5.27	0.44	20.933	19.903	19.264	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6475	*inCl	00 44 18.91	+85 18 43.8	7.2	6.2	0	-2.16	2.22	21.963	20.693	19.849	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6476	*inCl	00 44 16.10	+85 23 00.3	7.4	6.7	0	-9.45	7.47	22.207	20.7	19.748	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6477	*inCl	00 44 24.25	+85 10 23.3	250	230	113	-1.86	5.28	21.038	19.693	18.819	16.632	16.197	 	 	 	 	 	2
Cl* NGC  188    SMV    6480	*inCl	00 44 23.16	+85 12 41.2	280	250	104	-5.12	0.03	22.051	20.342	19.353	16.915	16.183	15.792	 	 	 	 	2
Cl* NGC  188    SMV    6490	*inCl	00 44 23.70	+85 13 40.9	4.8	3.8	76	-4.89	-0.65	21.49	19.985	19.013	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6499	*inCl	00 44 24.54	+85 14 10.7	13.7	13.1	90	 	 	22.233	21.38	20.777	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6505	*inCl	00 44 24.89	+85 14 56.3	5.1	4.9	89	-5.25	-0.56	21.687	20.173	19.204	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6508	*inCl	00 44 25.89	+85 14 37.4	170	130	2	6.95	0.67	21.634	19.966	18.957	16.294	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6523	*inCl	00 44 24.43	+85 19 09.4	4	3.3	0	-1.07	3.08	20.133	19.394	18.952	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6527	*inCl	00 44 21.18	+85 24 57.3	8.4	6.2	0	-3.71	-0.67	21.959	20.405	19.182	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6534	*inCl	00 44 33.42	+85 05 58.1	190	180	5	-3.46	2.46	18.273	17.741	17.407	16.67	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6540	*inCl	00 44 34.09	+85 06 59.3	9.1	8.8	90	1.51	7.29	21.246	20.709	20.419	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6545	*inCl	00 44 26.00	+85 20 54.2	4.2	3.9	97	2.27	-4.91	20.545	19.469	18.738	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6552	*inCl	00 44 32.20	+85 11 56.2	4.1	3.4	89	-0.55	-1.3	20.692	19.325	18.457	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6556	*inCl	00 44 29.60	+85 16 43.2	7.9	5.8	0	-4.49	1.89	21.834	21.033	20.539	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6560	*inCl	00 44 29.09	+85 17 55.6	11.7	7.5	0	-5.2	4.85	22.258	20.63	19.599	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6563	*inCl	00 44 24.74	+85 25 04.1	100	80	178	-6.68	5.89	20.7	19.117	18.006	15.705	15.03	14.721	 	 	 	 	2
Cl* NGC  188    SMV    6564	*inCl	00 44 31.81	+85 14 08.5	190	180	145	12.82	3.58	21.909	20.31	19.276	16.568	 	15.251	 	 	 	 	2
Cl* NGC  188    SMV    6572	*inCl	00 44 37.13	+85 07 58.5	6	5	0	-4.84	4.84	21.085	20.289	19.755	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6579	*inCl	00 44 30.83	+85 19 51.5	4.8	3.8	0	-8.4	4.97	20.485	19.62	19.065	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6587	*inCl	00 44 28.67	+85 24 09.6	12	8.5	0	-1.02	6.96	21.58	21.143	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6588	*inCl	00 44 35.11	+85 14 17.6	210	170	153	-5.17	-2.85	21.065	19.679	18.736	 	15.778	 	 	 	 	 	2
Cl* NGC  188    SMV    6592	*inCl	00 44 30.37	+85 22 30.1	3.2	2.7	0	-0.73	2.17	19.095	18.434	18.014	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6596	*inCl	00 44 34.02	+85 16 47.8	6.8	6.2	0	-4.24	-1.07	22.124	20.6	19.564	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6601	*inCl	00 44 32.25	+85 20 37.3	180	160	3	4.83	3.67	18.622	18.006	17.602	16.62	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6609	*inCl	00 44 41.24	+85 07 16.6	13.8	11.7	67	-0.11	3.99	21.728	21.216	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6610	*inCl	00 44 34.85	+85 18 25.6	6.3	4	90	-0.77	-0.43	18.851	17.842	17.212	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6618	*inCl	00 44 35.66	+85 19 08.0	11	7.7	0	-4.96	-0.23	22.326	20.862	19.788	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6635	*inCl	00 44 46.11	+85 05 27.3	7	5.2	0	-2.03	1.91	20.486	20.014	19.692	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6658	*inCl	00 44 39.47	+85 21 35.4	7.9	6.7	89	-2.92	4.43	21.52	20.602	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6660	*inCl	00 44 45.60	+85 11 36.5	12.2	7.1	90	3.85	2.2	20.767	20.086	19.68	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6663	*inCl	00 44 38.80	+85 23 43.4	3.9	3.2	0	-3.93	0.86	19.864	19.262	18.914	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6677	*inCl	00 44 50.51	+85 05 29.0	56.9	47.8	0	-5.4	11.99	 	21.234	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6688	*inCl	00 44 44.12	+85 19 57.1	100	90	3	-4.46	-0.63	19.272	18.194	17.494	16.017	15.4	15.294	 	 	 	 	2
Cl* NGC  188    SMV    6699	*inCl	00 44 52.35	+85 09 38.5	4.8	4.3	0	-3.87	2.76	20.58	19.873	19.433	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6707	*inCl	00 44 47.82	+85 20 27.3	100	80	178	-4.66	-0.29	18.498	17.552	16.979	15.884	15.12	15.273	 	 	 	 	2
Cl* NGC  188    SMV    6715	*inCl	00 44 47.83	+85 21 45.4	5.7	4.5	0	-4.93	-0.7	21.798	20.301	19.328	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6723	*inCl	00 44 47.50	+85 23 52.9	4.3	3.5	0	-3.55	3.07	20.029	19.502	19.213	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6739	*inCl	00 44 49.18	+85 24 15.5	5.9	5.2	0	-3.67	3.22	20.954	20.453	20.233	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6749	*inCl	00 44 54.08	+85 18 10.2	5.7	5	0	-3.43	1.2	20.699	20.151	19.786	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6753	*inCl	00 44 55.90	+85 15 46.0	4.9	4.5	0	-4.61	0.86	21.195	20.223	19.619	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6759	*inCl	00 44 52.52	+85 25 03.3	6.5	4.8	0	-0.16	5.47	21.574	20.399	19.822	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6762	*inCl	00 44 58.58	+85 14 57.7	7.4	6.1	89	-1.92	0.41	21.741	20.424	19.998	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6771	*inCl	00 44 55.92	+85 22 22.1	68.9	50.6	90	-3.97	5.09	 	21.241	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6782	*inCl	00 45 01.61	+85 12 52.8	21.3	15.8	0	-21.17	1.93	22.417	20.882	19.852	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6784	*inCl	00 44 58.75	+85 19 19.3	8.7	7.8	95	-1.9	1.55	21.336	21.334	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6792	*inCl	00 44 58.11	+85 21 37.5	33.3	14.4	0	-1.08	-6.07	21.216	20.249	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6803	*inCl	00 45 00.23	+85 20 24.7	9.9	6.2	0	-2.37	1.34	21.929	20.152	19.178	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6806	*inCl	00 45 05.86	+85 09 52.3	6.7	4.5	0	-5.31	-0.5	21.404	19.961	19.01	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6818	*inCl	00 45 08.47	+85 08 59.1	6.3	5.9	89	-3.02	1.78	20.344	19.955	19.849	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6836	*inCl	00 45 03.50	+85 23 10.6	3.7	3.6	0	1.52	9.18	19.527	18.867	18.425	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6851	*inCl	00 45 07.51	+85 20 10.1	6.9	5.7	0	4.77	2.95	21.484	20.797	20.386	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6857	*inCl	00 45 11.91	+85 13 40.0	5.7	5.3	0	-3.16	2.23	20.704	20.155	19.913	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6858	*inCl	00 45 12.16	+85 12 38.1	6.8	4.9	0	-4.81	-0.59	21.793	20.201	19.218	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6861	*inCl	00 45 08.22	+85 21 33.7	4.2	4	0	-3.95	1.65	20.58	19.855	19.445	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6862	*inCl	00 45 14.97	+85 07 19.0	170	130	9	-5.65	0.06	18.506	17.554	16.978	16.068	15.377	15.131	 	 	 	 	2
Cl* NGC  188    SMV    6865	*inCl	00 45 13.84	+85 10 13.2	4.4	3.9	0	-3.47	0.86	20.275	19.423	18.906	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6870	*inCl	00 45 08.43	+85 22 09.8	5.1	4.1	103	-3.81	3.54	20.764	20.199	19.764	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6876	*inCl	00 45 13.63	+85 12 11.6	2.9	2.7	0	-3.99	2.36	19.905	19.354	19.021	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6880	*inCl	00 45 11.70	+85 17 11.3	4.4	4.3	89	-2.48	-0.07	20.383	19.285	18.567	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6887	*inCl	00 45 16.29	+85 09 26.3	14.1	12.1	0	 	 	20.457	19.763	19.358	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6892	*inCl	00 45 13.24	+85 18 03.9	4.6	4.6	98	-4.86	-1.09	21.17	19.751	18.821	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6894	*inCl	00 45 10.49	+85 24 50.2	90	70	177	-5.4	0.21	17.477	16.662	16.182	15.183	14.644	14.614	 	 	 	 	2
Cl* NGC  188    SMV    6898	*inCl	00 45 15.66	+85 13 42.9	15.6	15.4	89	-2.64	4.37	22.321	20.533	19.46	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6908	*inCl	00 45 13.94	+85 20 24.1	10.9	10.4	90	-1.14	2.16	21.869	21.638	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6911	*inCl	00 45 15.71	+85 17 42.2	10.3	10	89	-0.3	-3	22.368	20.877	19.871	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6930	*inCl	00 45 15.05	+85 24 15.9	10.1	7.6	0	-2.5	4.4	22.077	20.274	19.181	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6946	*inCl	00 45 26.54	+85 05 01.8	100	70	178	-5.71	-0.64	17.645	16.831	16.346	15.209	15.01	14.868	 	 	 	 	2
Cl* NGC  188    SMV    6948	*inCl	00 45 24.49	+85 10 00.4	4.9	4.3	0	-5.53	0.29	21.237	19.776	18.837	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6949	*inCl	00 45 26.42	+85 05 56.7	5.9	5.3	90	16.04	19.98	21.565	20.151	19.253	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6958	*inCl	00 45 22.09	+85 18 41.2	4.8	4.5	78	-5.92	1.86	21.4	20.001	19.109	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6968	*inCl	00 45 25.63	+85 13 26.1	6.4	6.2	0	-4.32	-1.1	22.309	20.77	19.794	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6969	*inCl	00 45 26.36	+85 11 59.0	6.6	5.9	89	-1.22	4.99	21.528	20.822	20.492	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6970	*inCl	00 45 23.06	+85 19 51.3	260	250	148	-1.68	3.84	21.165	19.647	18.585	16.239	15.935	15.519	 	 	 	 	2
Cl* NGC  188    SMV    6972	*inCl	00 45 24.85	+85 16 05.6	3.5	3.4	0	-6.76	1.99	20.972	19.696	18.887	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6976	*inCl	00 45 27.44	+85 10 21.5	32.7	29.4	89	3.06	5.62	22.28	21.747	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6986	*inCl	00 45 23.32	+85 23 59.5	260	220	65	-5.13	-0.05	20.981	19.567	18.661	16.686	16.12	 	 	 	 	 	2
Cl* NGC  188    SMV    6987	*inCl	00 45 30.86	+85 06 12.3	3.7	3	98	-4.19	2.61	19.878	18.864	18.201	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    6997	*inCl	00 45 25.22	+85 22 19.0	4.2	3.1	0	-6.41	-0.67	20.22	19.171	18.464	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    7005	*inCl	00 45 30.35	+85 11 50.9	5.5	4.7	0	-2.66	-3.47	22.17	20.558	19.544	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    7011	*inCl	00 45 28.24	+85 18 15.7	7.2	5.6	0	-3.66	-0.61	22.078	20.539	19.558	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    7018	*inCl	00 45 30.81	+85 13 37.8	4.3	4	0	-5.43	-0.29	21.291	19.828	18.899	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    7020	*inCl	00 45 34.23	+85 05 41.3	4.8	4.2	0	-4.67	-0.39	21.005	19.82	19.025	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    7026	*inCl	00 45 29.66	+85 18 12.6	13.2	10.1	90	-6.31	-3.04	22.577	21.006	19.95	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    7055	*inCl	00 45 36.95	+85 08 02.7	3.9	3.5	111	-4.94	0.59	20.912	19.502	18.581	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    7066	*inCl	00 45 34.61	+85 17 01.2	7.6	7.2	90	5.65	4.58	21.344	19.781	18.656	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    7068	*inCl	00 45 33.04	+85 21 38.4	3.7	3.5	89	-5.25	1.37	20.43	19.427	18.824	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    7074	*inCl	00 45 37.93	+85 09 57.6	14.3	11.5	0	-7.37	1.61	22.593	20.984	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    7083	*inCl	00 45 40.75	+85 05 27.9	23	22.4	90	-6.39	-1.05	22.314	21.188	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    7090	*inCl	00 45 34.28	+85 24 16.5	9.5	9.1	118	2.29	1.99	21.187	20.037	19.158	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    7091	*inCl	00 45 34.21	+85 24 32.8	7.2	5.5	0	-4.22	5.06	21.859	20.595	19.777	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    7095	*inCl	00 45 38.81	+85 15 07.1	12.2	10.6	0	 	 	18.448	17.244	16.356	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    7105	*inCl	00 45 43.81	+85 05 22.5	8.1	8.1	105	-4.75	1.47	22.187	20.661	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    7108	*inCl	00 45 41.00	+85 15 15.6	190	180	163	16.46	16.66	21.263	19.74	18.737	16.198	15.67	15.199	 	 	 	 	2
Cl* NGC  188    SMV    7110	*inCl	00 45 44.15	+85 05 59.8	5.4	5.1	0	-6.74	-1.5	22.042	20.505	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    7119	*inCl	00 45 40.07	+85 20 11.5	350	340	165	-5.47	-1.31	20.658	19.199	18.235	16.54	15.826	15.825	 	 	 	 	2
Cl* NGC  188    SMV    7121	*inCl	00 45 39.79	+85 22 09.3	90	70	0	-4.08	0.62	17.708	16.965	16.529	15.572	15.102	14.984	 	 	 	 	2
Cl* NGC  188    SMV    7124	*inCl	00 45 40.33	+85 22 39.7	150	140	142	-4.94	-0.4	19.473	18.343	17.631	16.219	15.316	15.443	 	 	 	 	2
Cl* NGC  188    SMV    7128	*inCl	00 45 43.90	+85 13 53.2	4.3	4.1	90	-5.11	-0.08	21.386	19.923	18.971	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    7133	*inCl	00 45 40.43	+85 25 36.3	6.9	6.8	0	0.97	4.33	21.781	20.842	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    7138	*inCl	00 45 43.57	+85 18 39.9	13.3	10.3	90	 	 	20.278	18.835	17.917	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    7151	*inCl	00 45 43.60	+85 24 02.1	3.5	3	66	-3.99	2.17	19.759	18.916	18.429	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    7159	*inCl	00 45 49.94	+85 08 08.2	8.3	8.2	90	4.24	-4.61	20.826	20.529	20.123	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    7161	*inCl	00 45 47.85	+85 14 22.0	280	260	133	-6.41	-0.48	21.478	19.974	18.985	16.873	15.868	15.668	 	 	 	 	2
Cl* NGC  188    SMV    7168	*inCl	00 45 51.29	+85 06 29.0	9.4	7.8	90	-1.77	2.41	20.65	19.506	18.714	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    7171	*inCl	00 45 44.31	+85 19 57.6	8.8	8.1	90	-1.63	1.3	21.716	21.201	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    7176	*inCl	00 45 48.79	+85 20 32.5	240	240	0	-4.97	-0.44	19.138	18.077	17.427	16.347	15.545	15.522	 	 	 	 	2
Cl* NGC  188    SMV    7181	*inCl	00 45 53.53	+85 08 51.9	8.4	8.3	0	-4.11	2.1	21.408	19.782	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    7190	*inCl	00 45 52.53	+85 16 51.3	33.3	30	89	4.94	6.05	22.36	21.201	20.339	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    7199	*inCl	00 45 57.16	+85 05 30.5	14.1	13.6	90	-11.97	3.63	22.379	20.809	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    7200	*inCl	00 45 56.02	+85 09 29.1	6	5.2	0	-4.15	1.79	21.605	20.409	19.637	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    7206	*inCl	00 45 52.17	+85 23 33.8	7.7	5.4	99	-6.51	7.53	22.251	20.817	19.84	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    7210	*inCl	00 45 54.17	+85 18 15.2	11.8	8.7	0	-10.27	4.29	22.879	21.239	 	 	 	 	 	 	 	 	2
