07 26 25  -24 12 00 
07 26 43  -28 49 00 
07 26 56  -31 11 00 
07 27 00  -37 31 16 
07 27 11  -05 33 00 
07 27 12  +13 36 30 
07 27 22  -23 57 00 
07 28 00  -11 43 00 
07 28 18  -15 24 00 
07 28 36  +07 05 12 
07 28 36  -15 23 00 
07 28 42  -20 49 30 
07 28 56  -18 19 00 
07 29 18  -29 11 00 
07 29 24  -13 58 00 
07 30 06  +11 54 00 
07 30 06  -18 32 00 
07 30 12  -15 50 00 
07 30 40  -15 18 00 
07 30 41  -23 23 00 
07 31 00  -16 56 00 
07 31 18  -09 58 00 
07 31 37  -17 11 36 
07 31 54  -12 45 00 
07 32 00  -19 25 00 
07 33 00  -22 57 00 
07 33 07  -13 24 00 
07 33 12  -15 27 12 
07 33 24  -28 11 15 
07 33 28  -20 31 00 
07 33 36  -13 45 36 
07 35 30  -27 41 59 
07 36 13  -20 36 42 
07 36 35  -14 29 00 
07 36 47  -23 23 00 
07 36 59  -20 30 35 
07 37 02  -32 11 54 
07 37 06  -13 52 18 
07 37 11  -26 23 18 
07 37 12  -15 39 00 
07 37 30  -12 04 00 
07 37 34  -26 30 00 
07 37 44  -36 04 00 
07 38 17  -14 52 42 
07 38 23  +21 34 24 
07 38 24  -10 41 00 
07 38 46  -33 50 36 
07 39 18  -10 33 00 
07 39 21  -16 31 42 
07 39 36  -30 56 00 
07 39 41  -16 17 48 
07 39 45  -27 17 36 
07 40 06  -33 32 00 
07 40 09  +71 39 18 
07 40 30  -30 05 00 
07 40 45  -31 41 36 
07 40 53  -19 04 36 
07 41 08  -30 44 18 
07 41 18  -16 15 00 
07 41 18  -24 21 00 
07 41 46  -14 48 36 
07 42 25  -31 28 00 
07 42 58  -35 35 50 
07 43 12  -38 24 00 
07 44 27  -34 38 42 
07 44 27  -37 40 00 
07 44 30  -23 51 24 
07 44 34  -24 40 48 
07 44 51  -28 22 00 
07 45 10  -25 32 00 
07 45 32  -32 51 00 
07 45 47  -46 42 48 
07 45 55  -20 23 00 
07 45 58  -21 57 00 
07 46 13  -31 17 00 
07 46 42  -04 36 00 
07 47 02  +00 01 06 
07 47 03  -32 58 06 
07 47 35  -27 11 42 
07 48 23  -26 18 00 
07 48 40  -25 57 00 
07 48 40  -26 56 48 
07 49 01  -21 18 06 
07 49 24  -42 42 18 
07 49 54  -17 17 00 
07 50 20  -25 28 00 
07 50 30  -20 11 00 
07 50 30  -29 50 45 
07 51 37  -31 49 00 
07 52 10  -38 31 48 
07 52 19  -22 27 00 
07 52 26  -26 26 12 
